test_name,total_move_distance,total_scroll_distance,total_click_count,total_input_count,test_result,Commit Number
Admin tries to add user with email used for other one | Create new company,2495.2942593076914,108.0,4,93,passed,1032
Admin tries to add user with email used for other one | Create new non-admin user,646.4093130517226,452.0,1,82,passed,1032
Auto approvals | Create second user B,646.4093130517226,452.0,1,82,passed,1032
Auto approvals | Ensure that it is gone without need to be approved,0.0,0.0,0,0,passed,1032
Auto approvals | Ensure that new leave went straight to Approved status,0.0,0.0,0,0,passed,1032
Auto approvals | Ensure that there is no pending leave requests,0.0,0.0,0,0,passed,1032
Auto approvals | Ensure that user B does not have any leaves,0.0,0.0,0,0,passed,1032
Auto approvals | Ensure there were two emails regarding auto-approved leaves,0.0,0.0,0,0,passed,1032
Auto approvals | Login as admin user A,1518.063680283221,0.0,2,28,passed,1032
Auto approvals | Login as regular user B,1518.063680283221,0.0,2,28,passed,1032
Auto approvals | Logout from admin user,1043.7671912525857,0.0,2,0,passed,1032
Auto approvals | Logout from user B,1043.7671912525857,0.0,2,0,passed,1032
Auto approvals | Obtain information about admin user A,0.0,0.0,0,0,passed,1032
Auto approvals | Obtain information about user B,0.0,0.0,0,0,passed,1032
Auto approvals | Open Book leave popup window,503.1073444107132,0.0,1,0,passed,1032
Auto approvals | Open details page for user B,0.0,0.0,0,0,passed,1032
Auto approvals | Open email audit page,0.0,0.0,0,0,passed,1032
Auto approvals | Open requests page,0.0,0.0,0,0,passed,1032
Auto approvals | Open user B absences section,0.0,0.0,0,0,passed,1032
Auto approvals | Register new company,2495.2942593076914,108.0,4,93,passed,1032
Auto approvals | Revoke request,1024.490605130179,0.0,1,0,passed,1032
Auto approvals | Submit new leave requesti from user B,825.3629504648243,0.0,1,20,passed,1032
Auto approvals | Update settings to make all its leave requests auto approved,1302.1604836044287,648.0,2,0,passed,1032
Basic audit for user changes | Create new company,2495.2942593076914,108.0,4,93,passed,1032
Basic audit for user changes | Create second user,646.4093130517226,452.0,1,82,passed,1032
Basic audit for user changes | Enable API integration and capture the token value,723.5411184585806,50.0,2,0,passed,1032
Basic audit for user changes | Fetch the Audit feed from integration API,0.0,0.0,0,0,passed,1032
