test_name,total_move_distance,total_scroll_distance,total_click_count,total_input_count,test_result,Commit Number
Bulk import of users | Navigate to bulk upload page,0.0,0.0,0,0,passed,951
"Bulk import of users | Now try to login as newly added employee using ""undefined"" as password..",1518.063680283221,0.0,2,42,passed,951
Bulk import of users | Upload user import file,0.0,0.0,0,0,failed,951
CRUD for bank holidays | Add new bank holiday to be in the beginning of the list,1160.889793875602,701.0,2,20,failed,951
CRUD for bank holidays | Add new bank holiday to be in the end of the list,1160.889793875602,754.0,2,14,failed,951
CRUD for bank holidays | Check if there are default bank holidays,0.0,0.0,0,0,failed,951
"CRUD for bank holidays | Check that after some crappy input was provided into the date, it falls back to the current date",0.0,0.0,0,0,failed,951
CRUD for bank holidays | Check that the order of all three holidays is based on dates rather than names,0.0,0.0,0,0,failed,951
CRUD for bank holidays | Open page with bank holidays,0.0,0.0,0,0,passed,951
CRUD for bank holidays | Performing registration process,2495.2942593076914,108.0,4,93,passed,951
CRUD for bank holidays | Remove Spring bank holiday,705.3828747566813,824.0,1,0,passed,951
CRUD for bank holidays | Rename Christmas to have proper name,479.33495595460175,1046.0,1,9,failed,951
CRUD for bank holidays | Try to submit form with incorrect date,427.6178200215702,851.0,1,4,failed,951
CRUD for bank holidays | Update Early spring holiday to be 4th of May,427.6178200215702,922.0,1,10,passed,951
CRUD for leave types | Add AAA and ZZZ leave types,0.0,0.0,0,0,failed,951
CRUD for leave types | Add new leave type,2139.811532304799,862.0,3,5,passed,951
CRUD for leave types | And make sure only two old leave types are left,0.0,0.0,0,0,failed,951
"CRUD for leave types | And rename newly added leave type to start with ""M""",1063.7353994297641,970.0,1,2,passed,951
CRUD for leave types | Change Sick leave type to be non-default colour,1124.2380271534905,791.0,3,0,passed,951
CRUD for leave types | Check if there are default leave types,0.0,0.0,0,0,failed,951
CRUD for leave types | Check that it is possible to update Limits,1021.0161604989414,970.0,1,2,passed,951
"CRUD for leave types | Check that new leave type was added at the beginning of the list as it starts with ""A""",0.0,0.0,0,0,failed,951
"CRUD for leave types | Check that updating ""use allowance flag"" works",1117.9548320079268,862.0,2,0,passed,951
"CRUD for leave types | Double check that ""use allowance"" tick boxes were updated correctly",0.0,0.0,0,0,failed,951
CRUD for leave types | Ensure AAA is a first and ZZZ is a last in a list on book holiday modal,0.0,0.0,0,0,failed,951
CRUD for leave types | Ensure AAA is first and ZZZ is last in the list (general settings page),0.0,0.0,0,0,failed,951
CRUD for leave types | Ensure ZZZ is a first and AAA is a second in a list on book holiday modal,0.0,0.0,0,0,failed,951
CRUD for leave types | Ensure that color class for Sick days was updated to be non-default,0.0,0.0,0,0,failed,951
CRUD for leave types | Make sure default colours are set for leave types,0.0,0.0,0,0,failed,951
CRUD for leave types | Make sure that Limit cannot be negative,1021.0161604989414,970.0,1,2,failed,951
"CRUD for leave types | Make sure that both leave types have ""use allowance"" tick boxes set",0.0,0.0,0,0,failed,951
CRUD for leave types | Make sure that updated new leave type was moved into second position,0.0,0.0,0,0,failed,951
CRUD for leave types | Mark ZZZ as one to be default one,0.0,0.0,0,0,failed,951
CRUD for leave types | Open page with leave types,0.0,0.0,0,0,passed,951
CRUD for leave types | Performing registration process,2495.2942593076914,108.0,4,93,passed,951
CRUD for leave types | Remove empty newly added leave type,1109.220446980671,760.0,1,0,failed,951
CRUD for users | ... and try to remove account,0.0,0.0,0,0,failed,951
CRUD for users | ... and update the very first user is an supervisor,0.0,0.0,0,0,failed,951
CRUD for users | And remove account,0.0,0.0,0,0,failed,951
CRUD for users | And update its boss to be MANAGER,0.0,0.0,0,0,failed,951
CRUD for users | Check that system does not have ex-MANAGER,0.0,0.0,0,0,failed,951
CRUD for users | Check that system has 3 users (one currently logged in and 2 added),0.0,0.0,0,0,failed,951
CRUD for users | Check that system has 4 users (one currently logged in and 3 added),0.0,0.0,0,0,failed,951
CRUD for users | Check that system has only one - currently logged in user,0.0,0.0,0,0,passed,951
CRUD for users | Check that system still has 2 users (one currently logged in and ADMIN),0.0,0.0,0,0,failed,951
CRUD for users | Check that system still has 3 users (one currently logged in and 2 added),0.0,0.0,0,0,failed,951
CRUD for users | Create ADMIN-to-be user,646.4093130517226,452.0,1,82,failed,951
CRUD for users | Create EMPLOYEE-to-be user,646.4093130517226,452.0,1,82,failed,951
CRUD for users | Create MANAGER-to-be user,646.4093130517226,452.0,1,82,failed,951
CRUD for users | Create new company,2495.2942593076914,108.0,4,93,passed,951
CRUD for users | Ensure Adjustment works: check that system prevents from using non-halfs for adjustments,0.0,0.0,0,0,failed,951
"CRUD for users | Get the Admin, Manager and Employee IDs",0.0,0.0,0,0,failed,951
"CRUD for users | If the adjustment is with half and is negative, it is OK",0.0,0.0,0,0,failed,951
"CRUD for users | If the adjustment is with half, it is OK",0.0,0.0,0,0,failed,951
CRUD for users | Make sure that ADMIN has admin privilegues,0.0,0.0,0,0,failed,951
CRUD for users | Open 'users' page,0.0,0.0,0,0,passed,951
CRUD for users | Open ADMIN user details page,0.0,0.0,0,0,passed,951
CRUD for users | Open ADMIN user details page (absences),0.0,0.0,0,0,passed,951
CRUD for users | Open ADMIN user details page (general),0.0,0.0,0,0,passed,951
CRUD for users | Open EMPLOYEE user details page,0.0,0.0,0,0,passed,951
CRUD for users | Open MANAGER user details page,0.0,0.0,0,0,passed,951
CRUD for users | Open department management page,0.0,0.0,0,0,passed,951
CRUD for users | Open departments,0.0,0.0,0,0,passed,951
CRUD for users | Open ex-MANAGER user details page,0.0,0.0,0,0,passed,951
CRUD for users | Remove account,0.0,0.0,0,0,failed,951
CRUD for users | Revoke admin rights,0.0,0.0,0,0,failed,951
CRUD for users | Try to remove account,0.0,0.0,0,0,failed,951
Carry over issue for users started in current year | Ensure that newly created user's carried over still remains 0,0.0,0.0,0,0,failed,951
Carry over issue for users started in current year | Ensure user does not have anything carried over from previous year,0.0,0.0,0,0,failed,951
Carry over issue for users started in current year | Obtain information about admin user,0.0,0.0,0,0,passed,951
Carry over issue for users started in current year | Open user details page (abcenses section),0.0,0.0,0,0,passed,951
Carry over issue for users started in current year | Recalculate carried over allowance for the company,1013.0177688471215,511.0,1,0,passed,951
Carry over issue for users started in current year | Register new company,2495.2942593076914,108.0,4,93,passed,951
Carry over issue for users started in current year | Update admin details to have start date at very beginig of this year,1090.8207918810494,630.0,1,10,failed,951
Carry over issue for users started in current year | Update copany configuration to carry over all unused allowance from previous year,1882.3215178562637,282.0,3,0,failed,951
Case when holidays spans through more then one month and is devided by bank holiday | 1.5 days deducted for July 2016,0.0,0.0,0,0,failed,951
Case when holidays spans through more then one month and is devided by bank holiday | 2 days deducted for Sept 2016,0.0,0.0,0,0,failed,951
Case when holidays spans through more then one month and is devided by bank holiday | Approve newly added leave request,0.0,0.0,0,0,failed,951
Case when holidays spans through more then one month and is devided by bank holiday | As user B create a holiday request from 12 Aug to 15 Aug 2016 (b),0.0,0.0,0,0,failed,951
Case when holidays spans through more then one month and is devided by bank holiday | As user B create a holiday request from 26 Aug to 2 Sep 2016,0.0,0.0,0,0,failed,951
Case when holidays spans through more then one month and is devided by bank holiday | As user B create a holiday request from 28 July to morning of 4 Aug 2016 (a),0.0,0.0,0,0,failed,951
Case when holidays spans through more then one month and is devided by bank holiday | As user B create a sick day request from 18 to 18 Aug 2016,0.0,0.0,0,0,failed,951
Case when holidays spans through more then one month and is devided by bank holiday | As user B cretae a holiday request from 24 Aug to 24 Aug 2016 (but not approved),0.0,0.0,0,0,failed,951
Case when holidays spans through more then one month and is devided by bank holiday | Create new bank holiday to be on 2 Aug 2016,1160.889793875602,630.0,2,29,failed,951
Case when holidays spans through more then one month and is devided by bank holiday | Create second user B,646.4093130517226,452.0,1,82,failed,951
Case when holidays spans through more then one month and is devided by bank holiday | Login as user A (admin),1518.063680283221,0.0,2,28,passed,951
Case when holidays spans through more then one month and is devided by bank holiday | Login as user B,1518.063680283221,0.0,2,15,failed,951
Case when holidays spans through more then one month and is devided by bank holiday | Logout from user A (admin),1043.7671912525857,0.0,2,0,passed,951
Case when holidays spans through more then one month and is devided by bank holiday | Logout from user B,0.0,0.0,0,0,failed,951
Case when holidays spans through more then one month and is devided by bank holiday | Navigate to team view and ensure that it shows 9 days were deducted for Aug 2016,0.0,0.0,0,0,failed,951
Case when holidays spans through more then one month and is devided by bank holiday | Obtain information about user A,0.0,0.0,0,0,passed,951
Case when holidays spans through more then one month and is devided by bank holiday | Obtain information about user B,0.0,0.0,0,0,failed,951
Case when holidays spans through more then one month and is devided by bank holiday | Open Book leave popup window,0.0,0.0,0,0,failed,951
Case when holidays spans through more then one month and is devided by bank holiday | Open page with bank holidays,0.0,0.0,0,0,passed,951
Case when holidays spans through more then one month and is devided by bank holiday | Open requests page,0.0,0.0,0,0,passed,951
Case when holidays spans through more then one month and is devided by bank holiday | Register new company as admin user A,2495.2942593076914,108.0,4,93,passed,951
Changing default company wide schedule | ... and ensure Monday is still working day,0.0,0.0,0,0,failed,951
Changing default company wide schedule | ... and ensure Wednesday is marked as non-working day,0.0,0.0,0,0,failed,951
Changing default company wide schedule | ... and ensure that Monday is still working day,0.0,0.0,0,0,failed,951
Changing default company wide schedule | ... and make sure Wednsday is marked as non-working day,0.0,0.0,0,0,failed,951
Changing default company wide schedule | And make sure that it was indeed marked so,0.0,0.0,0,0,failed,951
Changing default company wide schedule | Ensure company has default schedule,0.0,0.0,0,0,failed,951
Changing default company wide schedule | Make Wednesday to be non-working day,1046.6116197459244,115.0,2,0,passed,951
Changing default company wide schedule | Open Calendar page,0.0,0.0,0,0,passed,951
Changing default company wide schedule | Open Team view page,0.0,0.0,0,0,passed,951
Changing default company wide schedule | Open company details page,0.0,0.0,0,0,passed,951
Changing default company wide schedule | Register new company,2495.2942593076914,108.0,4,93,passed,951
Check Email | Knows how to render and parse template,0.0,0.0,0,0,passed,951
Check Time zones | Create a company,2495.2942593076914,108.0,4,93,passed,951
"Check Time zones | Ensure its ""created at"" value on My requests page is today_tonga",0.0,0.0,0,0,failed,951
"Check Time zones | Ensure its ""created at"" value on My requests page is today_usa",0.0,0.0,0,0,failed,951
Check Time zones | Ensure that today_usa is one day behind the today_tonga,0.0,0.0,0,0,failed,951
Check Time zones | Ensure user starts at the very beginning of current year,1090.8207918810494,630.0,1,10,failed,951
Check Time zones | Get the current date from Calendar page and ensure it is the same as today_tonga,0.0,0.0,0,0,passed,951
Check Time zones | Get the current date from Calendar page and ensure it is the same as today_usa,0.0,0.0,0,0,passed,951
Check Time zones | Get the current date from Team view page and ensure it is the same as today_tonga,0.0,0.0,0,0,passed,951
Check Time zones | Get the current date from Team view page and ensure it is the same as today_usa,0.0,0.0,0,0,passed,951
Check Time zones | Get the date from Book leave modal and put it into today_tonga variable,503.1073444107132,0.0,1,0,passed,951
Check Time zones | Get the date from Book leave modal and put it into today_usa,503.1073444107132,0.0,1,0,passed,951
Check Time zones | Open Book leave popup window,511.07435858199733,0.0,1,0,passed,951
Check Time zones | Open page for editing company details,0.0,0.0,0,0,passed,951
Check Time zones | Reject newly added leave,0.0,0.0,0,0,failed,951
Check Time zones | Submit new leave request,831.8701821798879,0.0,1,0,passed,951
Check Time zones | Update Time zone to be Pacific/Midway,1789.1426652499636,282.0,3,0,failed,951
Check Time zones | Update Time zone to be somethng in Tonga,1789.1426652499636,282.0,3,0,failed,951
Check basic scenario for Team view page | ... open new department popup and submit form,2676.0449621945195,0.0,4,2,failed,951
Check basic scenario for Team view page | Check that company is been updated if valid values are submitted,806.9218883580436,282.0,2,0,failed,951
"Check basic scenario for Team view page | Create new department: ""IT""",0.0,0.0,0,0,passed,951
Check basic scenario for Team view page | Create new user B,1410.872523415701,452.0,3,82,failed,951
Check basic scenario for Team view page | Create user C,1410.872523415701,452.0,3,82,failed,951
Check basic scenario for Team view page | Login as user A,1518.063680283221,0.0,2,28,passed,951
Check basic scenario for Team view page | Login as user B,1518.063680283221,0.0,2,15,failed,951
Check basic scenario for Team view page | Login as user C,1518.063680283221,0.0,2,15,failed,951
Check basic scenario for Team view page | Login back as user A,1518.063680283221,0.0,2,28,passed,951
Check basic scenario for Team view page | Logout from A account,1043.7671912525857,0.0,2,0,passed,951
Check basic scenario for Team view page | Logout from B account,0.0,0.0,0,0,failed,951
Check basic scenario for Team view page | Logout from admin account,0.0,0.0,0,0,failed,951
Check basic scenario for Team view page | Logout from user A account,1043.7671912525857,0.0,2,0,passed,951
Check basic scenario for Team view page | Logout from user C account,0.0,0.0,0,0,failed,951
Check basic scenario for Team view page | Make sure that both users are shown on Team view page,0.0,0.0,0,0,failed,951
Check basic scenario for Team view page | Make sure user C is superviser of IT department,0.0,0.0,0,0,failed,951
Check basic scenario for Team view page | Open page for editing company details,0.0,0.0,0,0,passed,951
Check basic scenario for Team view page | Performing registration process,2495.2942593076914,108.0,4,93,passed,951
Check basic scenario for Team view page | Update IT department to be supervised by user B,0.0,0.0,0,0,failed,951
Check basic scenario for Team view page | and make sure that all users are shown on Team view page,0.0,0.0,0,0,failed,951
"Check basic scenario for Team view page | and make sure that all users are shown:  A, B, and C",0.0,0.0,0,0,failed,951
Check basic scenario for Team view page | and make sure that only one user C is here,0.0,0.0,0,0,failed,951
Check basic scenario for Team view page | and make sure that only user A and B are presented,0.0,0.0,0,0,failed,951
Check bug when type mismatch happenned | String value of 2 properly used,0.0,0.0,0,0,passed,951
Check calendar month object | It knows whether day is bank holiday,0.0,0.0,0,0,passed,951
Check calendar month object | Knows how many blanks to put after the last day of the month,0.0,0.0,0,0,passed,951
